Title,Description,Affiliation,Keyword,First Name,Last Name
Lyme 25 - Stony Brook_Cohen Lyme Project [Luft] (2016-2018),Study on the impact of Lyme and other tick-borne diseases on the migrant worker population,Stony Brook University,Field Building,Benjamin,Luft
Lyme 34 - SUNY Stony Brook_Cohen Lyme Project [Luft] (2017-2021),Study on the impact of Lyme and other tick-borne diseases on the migrant worker population,Stony Brook University,Field Building,Benjamin,Luft
Lyme 12 - SRI & Columbia U._Research [Fallon & Sellati] (2016-2017),Post-mortem tissue study,Southern Research Institute,Fundamental Knowledge,Brian,Fallon
Lyme 28 - UCSF_Lyme Research [Chiu] (2017-2022),New diagnostic development,"The University of California, San Francisco",Diagnostics,Charles,Chiu
Lyme 12b - Columbia U. & SRI_Lyme Research [Fallon & Sellati] (2016-2017),Post-mortem tissue study,Columbia University,Fundamental Knowledge,Brian,Fallon
Lyme 64 - Columbia U._CTN [Fallon & Aucott] (2020-2024),Establishing a Clinical Trials Network at Columbia University Irving Medical Center,Columbia University,Therapeutics,Brian,Fallon
Lyme 65b - Columbia U._CHAR Treatment Studies [Fallon] (2020-2024),Treatment Studies,Columbia University,Patient Support,Brian,Fallon
Lyme 20 - Columbia U._Diagnostic [Lipkin] (2016-2017),Identifying all known and unknown bacteria and viruses in ticks and studying the role of co-infections and other agents in long-term symptoms post Lyme disease treatment.,Columbia University,Diagnostics,Rafal,Tokarz
Lyme 45 - Columbia U._Diagnostic TBDSeroChip [Tokarz] (2019-2020),New diagnostic development: TBDSeroChip,Columbia University,Diagnostics,Rafal,Tokarz
Lyme 60 - Columbia U._Diagnostic [Tokarz] (2020-2021),New diagnostics development,Columbia University,Diagnostics,Rafal,Tokarz
Lyme 16 - Tufts U._Ecology [Hu] (2015-2017),Developing a vaccine for reservoir animals for Lyme disease,Tufts University,Prevention,Linden,Hu
Lyme 17 - Tufts U._Lyme Persistence [Hu] (2015-2016),Identifying genes that enable Lyme bacteria to survive in ticks,Tufts University,Fundamental Knowledge,Linden,Hu
Lyme 54 - UMD_Next-Generation Therapeutics for Lyme [Pal] (2021-2023),Researching next-generation therapeutics for Lyme disease,University of Maryland,Therapeutics,Utpal,Pal
Lyme 02 - VCU_Vaccine [Marconi] (2016-2017),Developing a combination OspA/OspC human vaccine (mice trials),Virginia Commonwealth University,Prevention,Richard,Marconi
Lyme 38 - VCU_Vaccine [Marconi] (2018-2020),Developing a combination OspA/OspC human vaccine (mice trials),Virginia Commonwealth University,Prevention,Richard,Marconi
Lyme 56 - Virginia Tech_Research [Jutras] (2020-2023),New diagnostics development: Borrelia peptidoglycan,Virginia Polytechnic Institute,Fundamental Knowledge,Brandon,Jutras
Lyme 62 - Yale U._Babesia [Ben Mamoun] (2020-2024),Novel therapeutics development: Babesia,Yale University,Therapeutics,Ben Mamoun,Choukri
Lyme 39 - Yale_Vaccine [Fikrig] (2018-2020),Anti-tick vaccine development,Yale University,Prevention,Erol,Fikrig
Lyme 77 - Yale_Protein Vaccine [Fikrig] (2022-2026),Development of a tick salivary gland protein vaccine for Lyme disease in humans via guinea pig and rabbit models and advancing momentum towards human clinical trial for vaccine,Yale University,Prevention,Erol,Fikrig
